REGIAO:;SE;;;
UF:;SP;;;
ESTACAO:;SAO PAULO - INTERLAGOS;;;
CODIGO (WMO):;A771;;;
LATITUDE:;-2,372,444,443;;;
LONGITUDE:;-4,667,749,999;;;
ALTITUDE:;771;;;
DATA DE FUNDACAO:;14/03/2018;;;
Data;Hora UTC;Precipitacao;Temperatura;Umidade
09/01/2026;1000 UTC;0;22,7;81
09/01/2026;1100 UTC;,2;24,4;74
09/01/2026;1200 UTC;0;25,1;70
09/01/2026;1300 UTC;0;27,5;61
09/01/2026;1400 UTC;0;29,5;51
09/01/2026;1500 UTC;0;31,6;44
09/01/2026;1600 UTC;0;31,8;43
09/01/2026;1700 UTC;0;26,9;76
09/01/2026;1800 UTC;0;24,9;83
09/01/2026;1900 UTC;0;24,9;82
09/01/2026;2000 UTC;0;23,8;85
09/01/2026;2100 UTC;,8;22,8;91
09/01/2026;2200 UTC;0;22,5;92
09/01/2026;2300 UTC;0;22;92
10/01/2026;0000 UTC;0;21,9;91
10/01/2026;0100 UTC;0;21,4;93
10/01/2026;0200 UTC;0;20,8;95
10/01/2026;0300 UTC;0;20,7;96
10/01/2026;0400 UTC;0;20,8;94
10/01/2026;0500 UTC;0;20,6;88
10/01/2026;0600 UTC;0;20,7;88
10/01/2026;0700 UTC;0;20,8;87
10/01/2026;0800 UTC;0;20,2;91
10/01/2026;0900 UTC;0;21,2;87
10/01/2026;1000 UTC;0;23,2;78
10/01/2026;1100 UTC;0;26,2;63
10/01/2026;1200 UTC;0;28;55
10/01/2026;1300 UTC;,2;29,7;50
10/01/2026;1400 UTC;0;31,4;48
10/01/2026;1500 UTC;0;32,2;44
10/01/2026;1600 UTC;0;33,5;43
10/01/2026;1700 UTC;0;32,9;40
10/01/2026;1800 UTC;0;34;37
10/01/2026;1900 UTC;0;28,3;75
10/01/2026;2000 UTC;0;26,3;72
10/01/2026;2100 UTC;17;21,3;92
10/01/2026;2200 UTC;1,6;21,7;86
10/01/2026;2300 UTC;0;21,7;82
11/01/2026;0000 UTC;2;21,7;88
11/01/2026;0100 UTC;1,6;21,8;92
11/01/2026;0200 UTC;1;21,1;96
11/01/2026;0300 UTC;0;21,2;97
11/01/2026;0400 UTC;0;21,4;97
11/01/2026;0500 UTC;0;21,3;97
11/01/2026;0600 UTC;0;21,2;97
11/01/2026;0700 UTC;0;21,3;97
11/01/2026;0800 UTC;0;21,4;97
11/01/2026;0900 UTC;0;20,7;97
11/01/2026;1000 UTC;0;22,2;95
11/01/2026;1100 UTC;0;24,9;74
11/01/2026;1200 UTC;0;26,3;65
11/01/2026;1300 UTC;,2;29,5;53
11/01/2026;1400 UTC;0;30,5;48
11/01/2026;1500 UTC;0;31,8;43
11/01/2026;1600 UTC;0;32,3;45
11/01/2026;1700 UTC;0;33,2;40
11/01/2026;1800 UTC;0;33,4;37
11/01/2026;1900 UTC;0;33,6;36
11/01/2026;2000 UTC;0;32,3;35
11/01/2026;2100 UTC;0;27,5;69
11/01/2026;2200 UTC;0;26;77
11/01/2026;2300 UTC;0;24,9;87
12/01/2026;0000 UTC;0;24,1;91
12/01/2026;0100 UTC;0;23,6;89
12/01/2026;0200 UTC;0;22,8;91
12/01/2026;0300 UTC;0;22,7;90
12/01/2026;0400 UTC;0;22,3;89
12/01/2026;0500 UTC;0;22,2;88
12/01/2026;0600 UTC;0;22,2;95
12/01/2026;0700 UTC;0;22,4;86
12/01/2026;0800 UTC;0;22,9;74
12/01/2026;0900 UTC;0;23,3;71
12/01/2026;1000 UTC;0;25,1;64
12/01/2026;1100 UTC;0;26,8;54
12/01/2026;1200 UTC;0;29,3;50
12/01/2026;1300 UTC;0;31,5;39
12/01/2026;1400 UTC;0;31,5;39
12/01/2026;1500 UTC;0;32,3;38
12/01/2026;1600 UTC;0;33,6;34
12/01/2026;1700 UTC;0;32,4;37
12/01/2026;1800 UTC;0;32,7;37
12/01/2026;1900 UTC;0;26;78
12/01/2026;2000 UTC;0;25,4;79
12/01/2026;2100 UTC;0;25,4;80
12/01/2026;2200 UTC;0;24,9;82
12/01/2026;2300 UTC;0;24,6;79
13/01/2026;0000 UTC;0;24,6;79
13/01/2026;0100 UTC;0;23,2;89
13/01/2026;0200 UTC;0;22,9;90
13/01/2026;0300 UTC;0;22,6;91
13/01/2026;0400 UTC;0;22;93
13/01/2026;0500 UTC;0;21,9;94
13/01/2026;0600 UTC;,2;21,8;93
13/01/2026;0700 UTC;,2;21,8;94
13/01/2026;0800 UTC;0;22,2;92
13/01/2026;0900 UTC;,2;20,9;87
13/01/2026;1000 UTC;0;20,5;83
13/01/2026;1100 UTC;1;19,3;93
13/01/2026;1200 UTC;,4;19,9;92
